userId,movieId,maxAt5,maxAt10,maxAt15,WhiteBoxPred,BlackBoxPred,MAE
13,54272,1.4035388159671007,1.4035388159671007,1.4035388159671007,3.947,4.601,0.6539999999999999
13,1597,1.3757619552790885,1.3757619552790885,1.3757619552790885,4.249,4.51,0.2610000000000001
13,4878,1.3995438063620826,1.3995438063620826,1.3995438063620826,4.266,4.482,0.2160000000000002
13,1225,1.3645031728397352,1.3645031728397352,1.3645031728397352,4.289,4.312,0.023000000000000576
602,54272,2.5560301744509,2.5560301744509,2.5560301744509,4.3,4.114,0.18599999999999994
602,1597,2.5753103805675743,2.5753103805675743,2.5753103805675743,4.289,4.666,0.37700000000000067
602,4878,2.5522067747530808,2.5522067747530808,2.5522067747530808,4.288,4.149,0.13900000000000023
602,1225,2.646310014070271,2.646310014070271,2.646310014070271,4.376,3.606,0.7700000000000005
90,54272,1.5243902070908582,1.5243902070908582,1.5243902070908582,3.983,4.601,0.6179999999999999
90,1597,1.5814921552985852,1.5814921552985852,1.5814921552985852,4.103,4.164,0.06099999999999994
90,4878,1.564304388514716,1.564304388514716,1.564304388514716,4.238,4.541,0.30299999999999994
90,1225,1.5097071076121242,1.5097071076121242,1.5097071076121242,4.433,4.374,0.05900000000000016
155,54272,1.2808021329624288,1.2808021329624288,1.2808021329624288,4.331,3.893,0.4380000000000006
155,1597,1.241497011051336,1.241497011051336,1.241497011051336,4.294,4.666,0.3720000000000008
155,4878,1.2463417645054966,1.2463417645054966,1.2463417645054966,4.238,4.184,0.05400000000000027
155,1225,1.2867704225251049,1.2867704225251049,1.2867704225251049,4.044,3.606,0.4379999999999997
549,54272,1.7741823728826496,1.7741823728826496,1.7741823728826496,4.343,3.893,0.4500000000000002
549,1597,1.7382307164481805,1.7382307164481805,1.7382307164481805,4.168,4.14,0.02800000000000047
549,4878,1.7896955203976923,1.7896955203976923,1.7896955203976923,3.8339999999999996,4.184,0.35000000000000053
549,1225,1.7560676927147256,1.7560676927147256,1.7560676927147256,4.2780000000000005,4.312,0.03399999999999981
326,54272,1.4505050175945884,1.4505050175945884,1.4505050175945884,4.325,4.114,0.2110000000000003
326,1597,1.483518402163876,1.483518402163876,1.483518402163876,4.1080000000000005,4.758,0.6499999999999995
326,4878,1.44630384138434,1.44630384138434,1.44630384138434,4.1819999999999995,4.149,0.032999999999999474
326,1225,1.5287968590076284,1.5287968590076284,1.5287968590076284,4.319,4.002,0.31700000000000017
246,54272,1.3745497114062564,1.3745497114062564,1.3745497114062564,4.455,4.477,0.02200000000000024
246,1597,1.4003516940234817,1.4003516940234817,1.4003516940234817,4.152,4.14,0.012000000000000455
246,4878,1.3764798506652325,1.3764798506652325,1.3764798506652325,4.428,4.364,0.06400000000000006
246,1225,1.4007659973856912,1.4007659973856912,1.4007659973856912,4.122,3.606,0.516
46,54272,3.117532910043193,3.117532910043193,3.117532910043193,4.43,4.601,0.17100000000000026
46,1597,3.0841757219152823,3.0841757219152823,3.0841757219152823,4.478,4.666,0.1880000000000006
46,4878,3.0740350882542486,3.0740350882542486,3.0740350882542486,4.378,4.541,0.16300000000000026
46,1225,3.0681086146130534,3.0681086146130534,3.0681086146130534,4.2780000000000005,3.606,0.6720000000000006
490,54272,1.350910373433837,1.350910373433837,1.350910373433837,4.43,4.248,0.1819999999999995
490,1597,1.3896238883186427,1.3896238883186427,1.3896238883186427,4.263999999999999,4.666,0.402000000000001
490,4878,1.3857058731914107,1.3857058731914107,1.3857058731914107,4.145,4.541,0.3960000000000008
490,1225,1.3675239635680485,1.3675239635680485,1.3675239635680485,4.266,3.606,0.6600000000000001
43,54272,2.2032981843571697,2.2032981843571697,2.2032981843571697,4.566,4.576,0.009999999999999787
43,1597,2.186328083897416,2.186328083897416,2.186328083897416,4.103,4.758,0.6550000000000002
43,4878,2.092961146239263,2.092961146239263,2.092961146239263,3.8339999999999996,4.825,0.9910000000000005
43,1225,2.134258973293536,2.134258973293536,2.134258973293536,4.428999999999999,4.312,0.1169999999999991
