,userId,movieId,maxAt5,maxAt10,maxAt15,WhiteBoxPred,BlackBoxPred,MAE
0,13,54272,1.4035388159671007,1.4035388159671007,1.4035388159671007,3.947,4.134,0.18700000000000028
1,13,1597,1.3757619552790885,1.3757619552790885,1.3757619552790885,4.249,4.134,0.11499999999999932
2,13,4878,1.3995438063620826,1.3995438063620826,1.3995438063620826,4.266,4.134,0.13199999999999967
3,13,1225,1.364503172839735,1.364503172839735,1.364503172839735,4.289,4.134,0.15499999999999936
4,602,54272,2.5560301744508998,2.5560301744508998,2.5560301744508998,4.3,4.134,0.16599999999999948
5,602,1597,2.575310380567574,2.575310380567574,2.575310380567574,4.289,4.134,0.15499999999999936
6,602,4878,2.5522067747530808,2.5522067747530808,2.5522067747530808,4.288,4.134,0.15399999999999991
7,602,1225,2.646310014070271,2.646310014070271,2.646310014070271,4.376,4.134,0.242
8,90,54272,1.524390207090858,1.524390207090858,1.524390207090858,3.983,4.134,0.15100000000000025
9,90,1597,1.5814921552985852,1.5814921552985852,1.5814921552985852,4.103,4.134,0.031000000000000583
10,90,4878,1.5643043885147159,1.5643043885147159,1.5643043885147159,4.238,4.134,0.10400000000000009
11,90,1225,1.5097071076121242,1.5097071076121242,1.5097071076121242,4.433,4.134,0.2989999999999995
12,155,54272,1.280802132962429,1.280802132962429,1.280802132962429,4.331,4.134,0.19700000000000006
13,155,1597,1.241497011051336,1.241497011051336,1.241497011051336,4.294,4.134,0.15999999999999925
14,155,4878,1.2463417645054966,1.2463417645054966,1.2463417645054966,4.238,4.134,0.10400000000000009
15,155,1225,1.2867704225251049,1.2867704225251049,1.2867704225251049,4.044,4.134,0.09000000000000075
16,549,54272,1.7741823728826496,1.7741823728826496,1.7741823728826496,4.343,4.134,0.20899999999999963
17,549,1597,1.7382307164481803,1.7382307164481803,1.7382307164481803,4.168,4.134,0.03399999999999981
18,549,4878,1.7896955203976925,1.7896955203976925,1.7896955203976925,3.834,4.134,0.30000000000000027
19,549,1225,1.756067692714726,1.756067692714726,1.756067692714726,4.278,4.134,0.14399999999999924
20,326,54272,1.4505050175945884,1.4505050175945884,1.4505050175945884,4.325,4.134,0.19099999999999984
21,326,1597,1.4835184021638759,1.4835184021638759,1.4835184021638759,4.108,4.134,0.02600000000000069
22,326,4878,1.4463038413843399,1.4463038413843399,1.4463038413843399,4.182,4.134,0.04800000000000004
23,326,1225,1.5287968590076284,1.5287968590076284,1.5287968590076284,4.319,4.134,0.1849999999999996
24,246,54272,1.3745497114062564,1.3745497114062564,1.3745497114062564,4.455,4.134,0.32099999999999973
25,246,1597,1.4003516940234815,1.4003516940234815,1.4003516940234815,4.152,4.134,0.017999999999999794
26,246,4878,1.3764798506652323,1.3764798506652323,1.3764798506652323,4.428,4.134,0.2939999999999996
27,246,1225,1.4007659973856912,1.4007659973856912,1.4007659973856912,4.122,4.134,0.012000000000000455
28,46,54272,3.1175329100431934,3.1175329100431934,3.1175329100431934,4.43,4.134,0.2959999999999994
29,46,1597,3.0841757219152823,3.0841757219152823,3.0841757219152823,4.478,4.134,0.3439999999999994
30,46,4878,3.074035088254249,3.074035088254249,3.074035088254249,4.378,4.134,0.24399999999999977
31,46,1225,3.068108614613053,3.068108614613053,3.068108614613053,4.278,4.134,0.14399999999999924
32,490,54272,1.350910373433837,1.350910373433837,1.350910373433837,4.43,4.134,0.2959999999999994
33,490,1597,1.3896238883186427,1.3896238883186427,1.3896238883186427,4.264,4.134,0.1299999999999999
34,490,4878,1.3857058731914107,1.3857058731914107,1.3857058731914107,4.145,4.134,0.010999999999999233
35,490,1225,1.3675239635680483,1.3675239635680483,1.3675239635680483,4.266,4.134,0.13199999999999967
36,43,54272,2.20329818435717,2.20329818435717,2.20329818435717,4.566,4.134,0.4319999999999995
37,43,1597,2.1863280838974157,2.1863280838974157,2.1863280838974157,4.103,4.134,0.031000000000000583
38,43,4878,2.092961146239263,2.092961146239263,2.092961146239263,3.834,4.134,0.30000000000000027
39,43,1225,2.134258973293536,2.134258973293536,2.134258973293536,4.429,4.134,0.29499999999999993
